Airlines,Total_Stops,Price,Duration,Destination,Date
Tunisair,0,81 €,2h 15min,MAD,2025-06-29
Tunisair,0,81 €,2h 15min,MAD,2025-06-29
Air Europa,0,83 €,2h 15min,MAD,2025-06-29
"Vueling, Iberia",1,102 €,5h 20min,MAD,2025-06-29
"Tunisair, Iberia",1,105 €,5h 55min,MAD,2025-06-29
Aegean Airlines,1,117 €,9h 35min,MAD,2025-06-29
"Tunisair, Iberia",1,137 €,4h 45min,MAD,2025-06-29
ITA Airways,1,177 €,4h 49min,MAD,2025-06-29
"Tunisair, Ryanair",1,110 €,6h 30min,MAD,2025-06-29
Transavia France,1,137 €,7h 05min,MAD,2025-06-29
"Nouvelair, Iberia",1,119 €,6h 15min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,5h 40min,MAD,2025-06-29
Transavia France,1,174 €,6h 45min,MAD,2025-06-29
"Tunisair, Transavia France",1,147 €,5h 45min,MAD,2025-06-29
"Vueling, Iberia",1,114 €,7h 15min,MAD,2025-06-29
"Nouvelair, easyJet",1,132 €,7h 10min,MAD,2025-06-29
"Nouvelair, Iberia",1,128 €,6h 55min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,6h 40min,MAD,2025-06-29
"Transavia France, Iberia",1,151 €,6h 15min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,6h 35min,MAD,2025-06-29
"Nouvelair, Ryanair",1,149 €,6h 10min,MAD,2025-06-29
"Tunisair, Transavia France",1,159 €,6h 00min,MAD,2025-06-29
"Tunisair, Iberia",1,169 €,5h 40min,MAD,2025-06-29
"Nouvelair, Iberia",1,143 €,6h 50min,MAD,2025-06-29
ITA Airways,1,208 €,5h 45min,MAD,2025-06-29
"Tunisair, Iberia",1,145 €,6h 10min,MAD,2025-06-29
"ITA Airways, Wizz Air",1,128 €,8h 30min,MAD,2025-06-29
"Tunisair, Air Europa",1,187 €,5h 35min,MAD,2025-06-29
Air France,1,242 €,6h 05min,MAD,2025-06-29
Royal Air Maroc,1,259 €,6h 05min,MAD,2025-06-29
Transavia France,1,199 €,7h 20min,MAD,2025-06-29
Royal Air Maroc,1,408 €,9h 15min,COO,2025-06-29
Royal Air Maroc,1,404 €,9h 15min,COO,2025-06-29
Royal Air Maroc,1,404 €,15h 25min,COO,2025-06-29
Turkish Airlines,1,508 €,11h 55min,COO,2025-06-29
Turkish Airlines,1,508 €,21h 35min,COO,2025-06-29
"Royal Air Maroc, Air Côte d’Ivoire",2,476 €,16h 25min,COO,2025-06-29
"Nouvelair, Royal Air Maroc",2,497 €,15h 15min,COO,2025-06-29
Air France,1,945 €,10h 30min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,497 €,17h 30min,COO,2025-06-29
